Time resolution is 1 ps
Time	clk	x_in		f_out
0	0	0	x
5000	1	0	x
10000	0	0	x
15000	1	0	x
20000	0	0	x
25000	1	0	x
30000	0	0	x
35000	1	0	x
40000	0	0	x
45000	1	0	x
50000	0	0	x
55000	1	0	x
60000	0	0	x
65000	1	0	0
70000	0	0	0
75000	1	0	0
80000	0	0	0
85000	1	0	0
90000	0	0	0
95000	1	0	0
100000	0	2047	0
105000	1	2047	0
110000	0	-2047	0
115000	1	-2047	0
120000	0	1024	0
125000	1	1024	0
130000	0	-1024	0
135000	1	-1024	1024
140000	0	16	1024
145000	1	16	0
150000	0	-16	0
155000	1	-16	368
160000	0	-16	368
165000	1	-16	353
170000	0	-16	353
175000	1	-16	137
180000	0	-16	137
185000	1	-16	137
190000	0	-16	137
195000	1	-16	-14
200000	0	-16	-14
205000	1	-16	-14
210000	0	-16	-14
215000	1	-16	-14
220000	0	-16	-14
225000	1	-16	-14
230000	0	-16	-14
235000	1	-16	-14
240000	0	-16	-14
245000	1	-16	-14
Simulation complete.
$finish called at time : 250 ns : File "D:/Desktop/Vivado/work/Flexible-Symmetry-Aware-Architecture/tb/tb_top.v" Line 69
